review_id,product_id,rating,channel,preprocessed_content
review_001,product_001,5,online,모델링 팩 처음 써봤는데 생각보다 훨씬 좋았어요. 앰풀이랑 섞어서 사용했더니 밀착력이 정말 좋고 촉촉함이 오래가는 느낌이에요. 시트팩이랑은 비교가 안 될 정도로 흡수도 잘 되고 진정 효과도 확실하게 느껴졌어요. 다음에 또 구매할 것 같아요.
review_002,product_002,5,online,필 오프 팩 처음 써봤는데 밀착력이 생각보다 좋았어요. 떼어낼 때 자극도 별로 없고 피부가 부드러워진 느낌이 들었어요. 우디향이 좋긴 하네요. 다만 향이 조금 강한 편이라 향에 민감하신 분들은 참고하세요. 각질 제거 효과는 기대보다 살짝 아쉬웠지만 피부 정돈 용도로는 만족합니다.
review_003,product_001,4,online,진정 효과가 뛰어나다는 말 듣고 구매했어요. 대용량이라 가성비는 좋은데 파우더 조절이 생각보다 어렵더라고요. 익숙해지면 괜찮아질 것 같은데 처음 쓰시는 분들은 1회용부터 시작하시는 걸 추천드려요. 인공향이 좀 나지만 효과는 확실히 있어요.
review_004,product_003,5,online,콜라겐 팩 처음 써봤는데 시트팩이랑은 비교가 안 될 정도로 수분력이 좋아요. 성분도 자연주의라 그런지 피부에 자극이 없고 쿨링 효과도 있어서 여름에 쓰기 딱 좋아요. 도구랑 같이 쓰면 더 편하게 사용할 수 있어요. 강추합니다.
review_005,product_004,5,online,허니 성분이라 그런지 향이 달콤하고 기분 좋아요. 사용 후에 피부가 촉촉해지고 윤기가 도는 게 느껴졌어요. 일주일에 두 번 정도 사용 중인데 각질도 정리되고 보습력도 좋아서 만족합니다. 인공향 없는 거 마음에 들어요.
review_006,product_001,5,online,스킨케어 마무리로 팩 올려주면 촉촉함이 훨씬 오래가요. 물보다 앰풀이랑 섞어 쓰면 더 좋은 것 같아요. 피부가 맑아지는 느낌도 들고 트러블 진정에도 효과가 있었어요. 재구매 의사 있습니다. 팩 크기가 괜찮네요.
review_007,product_004,3,online,각질 제거 목적으로 구매했는데 스크럽 제품이라 자극이 너무 심해요. 피부 예민하신 분들은 절대 비추입니다. 촉촉함과 보습감이 전혀 없어요. 각질 제거 효과도 기대 이하라 실망했어요.
review_008,product_005,5,online,쿨티트리 팩 가성비 정말 좋아요. 1kg이라 오래 쓸 수 있고 민감한 피부인데도 자극이 없었어요. 사용 직후 쿨링감이 확실하게 느껴지고 촉촉함과 빠른 진정 효과가 있어요. 시트팩보다 모델링 팩이 진정 효과가 훨씬 좋은 것 같아요.
review_009,product_006,4,online,히알루론산 팩 수분감이 정말 좋아요. 알레르기 유발 성분 없는 거 확인하고 구매했는데 피부 자극도 없었어요. 사용 후 피부가 촉촉하고 시원한 느낌이 들었어요. 팩이 좀 빨리 굳는 편이라 빠르게 발라야 하는 게 살짝 아쉬워요.
review_010,product_007,5,online,물 조절 없이 간편하게 쓸 수 있어서 모델링 팩 입문자에게 딱이에요. 세럼 제형이라 촉촉함이 오래가고 쿨링력도 좋았어요. 팩 떼어낼 때도 잔여물 없이 깔끔하게 제거돼요. 다음에 또 구매할 예정이에요.
review_011,product_007,5,online,모델링 마스크 처음 사용해봤는데 물 조절 없이 간편하게 쓸 수 있었어요. 지성 피부에 좋네요. 세럼과 크림 제형이라 촉촉함이 오래가고 쿨링감도 좋았어요. 떼어낼 때 건조함 없이 부드럽게 제거되고 피부 광채가 은은하게 올라오더라고요. 자극 없고 깔끔한 사용감이라 마음에 들어요.
review_012,product_013,4,offline,매장에서 직접 써보고 구매했어요. 피부 진정 효과가 확실히 있고 사용 후 피부가 촉촉해졌어요. 성분이 순한 편이라 민감한 피부에도 괜찮을 것 같아요. 가격 대비 용량이 좀 적은 편이에요.
review_013,product_014,5,offline,오프라인 매장에서 직원분이 추천해줘서 구매했어요. 고무팩 처음 써봤는데 밀착력이 정말 좋고 진정 효과가 확실해요. 30분 사용 후 피부가 촉촉하고 탄탄해진 느낌이에요. 세일할 때 구매하면 가성비 좋아요.
review_014,product_005,4,offline,쿨링 효과가 좋아서 여름에 특히 즐겨 쓰는 제품이에요. 매장에서 사면 바로 써볼 수 있어서 좋아요. 보습력도 좋고 사용 후 피부가 매끄러워지는 느낌이에요. 대용량이라 오래 쓸 수 있어서 가성비 좋습니다.
review_015,product_004,2,offline,제가 써본 스크럽 중에 자극이 가장 심해서 정말 최악이었어요. 냄새도 역하고 불쾌했어요. 재구매 절대 안 합니다. 팩 사이즈도 너무 작아서 별로예요.
review_016,product_006,5,offline,쫀쫀한 제형에 쿨링감이 있어서 여름에 열감 오른 피부에 딱 좋아요. 지성인한테 잘 어울려요. 팩 떼어내고 나서도 한동안 쿨링감이 남아있어요. 대용량으로 나오면 무조건 살 것 같아요. 시카 토너패드랑 같이 쓰면 더 효과적이에요.
review_017,product_006,4,offline,모델링 팩 효과를 제대로 보려면 각질 제거나 압출이 된 상태에서 해주는 게 더 좋아요. 팩을 빠르게 개어서 올려야 뭉침 없이 잘 발려요. 진정 효과는 개인차가 있는 것 같고 향이 쑥개떡 같아서 신기했어요.
review_018,product_008,5,offline,물 넣어서 섞는 타입보다 앰풀 섞는 이 제품이 수분감이 훨씬 좋아요. 간편하게 2가지만 합치면 되고 사용 후 피부가 촉촉하고 환해진 게 느껴져요. 성분 좋고 향도 거의 무향이에요. 할인할 때 구매하면 가성비 좋아요.
review_019,product_026,4,offline,가격 대비 부담 없이 사용할 수 있어요. 크림 느낌의 팩이라 자극이 없고 진정이 잘 돼요. 피부가 보들보들해지는 효과가 있어요. 냄새가 좀 별로인 게 단점이에요.
review_020,product_015,4,offline,일반 마스크 팩만 쓰다가 처음으로 고무 마스크팩을 사봤어요. 앰풀 바르고 고무 마스크팩 올리니 밀착이 잘 되고 30분 후 피부가 맑아진 느낌이 들었어요. 사용하기 간편하고 다음 날 화장도 잘 먹어서 좋았어요. 팩이 흐물거려서 조심히 다뤄야 해요.

